,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
MRVL,75.12B,79.34B,22.15,38.76,1.71,17.14,4.79,20.25,122.32,1.07,77.84%,25.05%,93.85,37.92,73.72,58.69,8.2M,13.64M,843.8M,N/A,838.91M,0.37%,87.69%,16.8M,2.67,2.54%,1.99%,17.04M,0.24,0.29%,0.24,0.29%,0.99,N/A,"Oct 26, 2021","Oct 06, 2021",2:1,"Jul 24, 2006","Jan 29, 2021","Oct 29, 2021",-10.48%,-1.37%,-0.20%,-3.41%,3.92B,5.19,61.50%,1.52B,978.23M,-410.67M,-0.55,N/A,523.5M,0.62,4.75B,30.28,1.81,18.64,631.34M,669.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDAY,69.92B,68.50B,2.80k,77.52,3.54,14.33,16.59,14.00,175.81,1.35,13.02%,25.05%,307.81,217.60,280.28,253.88,1.61M,1.54M,193M,250M,191.74M,0.97%,92.74%,7.44M,3.95,3.88%,2.97%,7.44M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",0.63%,1.41%,0.50%,0.85%,4.89B,19.98,20.00%,3.14B,399.28M,30.92M,0.12,N/A,3.55B,14.22,2.13B,50.63,1.10,16.86,1.59B,1.73B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISV,68.13B,88.19B,53.47,16.05,1.00,4.41,2.16,5.58,16.07,0.83,-7.86%,25.05%,127.34,92.06,102.70,111.80,4.61M,4.26M,660.23M,N/A,601.1M,0.46%,92.43%,13.18M,2.31,2.30%,2.00%,10.24M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Mar 19, 2018","Dec 30, 2020","Sep 29, 2021",8.23%,15.66%,2.09%,4.17%,15.8B,23.72,10.00%,7.16B,5.6B,1.3B,1.93,62.10%,933M,1.41,20.99B,64.42,1.05,47.87,3.88B,3.34B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIS,63.63B,82.02B,290.28,13.93,1.11,4.83,1.35,6.07,17.58,0.75,-22.82%,25.05%,155.96,101.79,112.90,133.90,4.17M,5.13M,608.94M,N/A,607.3M,0.24%,91.81%,5.98M,1.21,0.98%,0.98%,5.52M,1.56,1.44%,1.52,1.41%,1.13,422.22%,"Dec 26, 2021","Dec 09, 2021",N/A,N/A,"Dec 30, 2020","Sep 29, 2021",1.70%,14.35%,1.47%,0.49%,13.52B,21.84,9.70%,4.2B,4.81B,230M,0.36,690.00%,1.39B,2.28,19.78B,41.82,0.79,77.35,5.11B,4.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COIN,55.04B,52.54B,21.66,35.21,0.73,9.22,10.27,8.87,21.62,N/A,-25.87%,25.05%,429.54,208.00,301.88,266.26,5.2M,4.26M,141.79M,261.9M,140.03M,1.81%,34.78%,4.04M,0.73,N/A,1.88%,4.93M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",49.97%,54.10%,N/A,N/A,5.92B,41.81,316.30%,1.27B,3.25B,2.31B,13.29,399.50%,6.36B,29.54,3.94B,73.52,1.65,25.09,9.89B,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSK,59.17B,60.43B,45.36,38.91,1.39,14.19,46.23,14.34,73.73,1.40,-7.72%,25.05%,344.39,245.05,294.59,292.50,1.52M,1.88M,219.97M,N/A,219.65M,0.19%,92.84%,2.7M,1.45,1.23%,1.23%,2.49M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Mar 21, 2005",2:1,"Dec 20, 2004","Jan 30, 2021","Oct 30, 2021",31.31%,16.37%,5.96%,195.55%,4.21B,19.18,18.20%,3.48B,788.5M,1.32B,5.93,3.40%,1.79B,8.15,3.05B,238.26,0.81,5.81,1.47B,1.29B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM,55.20B,49.88B,49.27,40.49,2.03,14.41,10.80,12.75,39.37,-1.19,-51.16%,25.05%,451.77,174.66,240.90,309.07,4.37M,4.32M,242.24M,298M,218.62M,13.70%,61.47%,8.65M,1.59,3.58%,2.90%,9.62M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",29.29%,29.27%,14.27%,34.64%,3.91B,13.32,35.20%,1.83B,1.19B,1.14B,3.76,71.40%,5.42B,18.18,97.39M,1.90,3.61,17.16,1.8B,1.51B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC,62.27B,63.19B,23.28,19.65,1.77,8.51,16.13,8.47,20.14,1.21,50.15%,25.05%,428.22,252.02,385.01,339.35,1.17M,1.54M,151.62M,N/A,151.36M,0.14%,89.82%,2.79M,2.43,2.11%,1.84%,2.99M,4.2,1.07%,3.75,0.96%,1.99,21.26%,"Nov 30, 2021","Nov 11, 2021",2:1,"Jan 18, 2000","Jun 29, 2021","Sep 29, 2021",36.52%,37.23%,16.97%,82.33%,7.46B,48.67,35.40%,4.15B,3.11B,2.73B,17.62,154.00%,2.62B,17.31,3.54B,91.79,2.43,25.44,2.54B,1.78B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXPI,60.22B,67.51B,39.94,18.87,1.16,6.08,8.94,6.41,19.57,1.39,39.28%,25.05%,239.91,152.93,212.10,204.80,2.37M,2.69M,265.93M,N/A,265.19M,0.33%,92.87%,5.64M,2.13,2.38%,2.12%,4.74M,2.25,1.03%,2.06,0.94%,N/A,36.38%,"Jan 05, 2022","Dec 13, 2021",N/A,N/A,"Dec 30, 2020","Oct 02, 2021",14.98%,22.04%,7.05%,20.14%,10.53B,38.38,26.20%,4.27B,3.55B,1.58B,5.59,N/A,2.3B,8.66,9.59B,137.59,1.37,25.30,3.32B,2.53B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTNT,54.38B,52.27B,100.19,74.07,4.15,17.74,48.64,16.72,83.11,1.15,128.71%,25.05%,355.35,137.31,327.52,265.44,1.15M,2.27M,163.5M,N/A,139.35M,18.18%,70.65%,1.78M,1.88,1.33%,1.09%,2.14M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 01, 2011","Dec 30, 2020","Sep 29, 2021",17.73%,19.20%,7.85%,60.00%,3.13B,19.17,33.20%,2.02B,676.1M,554.5M,3.32,32.20%,3.12B,19.09,1.07B,94.32,1.80,6.84,1.43B,1.05B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNPS,55.46B,54.55B,75.33,46.51,2.85,13.56,10.47,12.97,56.13,1.13,36.89%,25.05%,365.84,217.69,336.16,289.54,705.81k,1.02M,153.44M,N/A,152.46M,0.66%,90.34%,1.43M,2.45,1.06%,0.93%,1.71M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Sep 23, 2003","Oct 30, 2021","Oct 30, 2021",18.02%,18.27%,5.72%,14.81%,4.2B,27.53,12.40%,3.39B,921.76M,757.52M,4.81,2.00%,1.58B,10.3,666.77M,12.58,1.16,34.60,1.49B,1.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANW,52.48B,52.99B,N/A,74.07,2.25,11.31,101.13,11.63,-2.05k,1.37,48.91%,25.05%,559.54,311.56,516.13,417.58,1.33M,1.8M,98.67M,N/A,96.71M,2.01%,89.04%,7.12M,5.13,7.35%,7.21%,6.59M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jul 30, 2021","Oct 30, 2021",-11.20%,-6.80%,-2.02%,-80.62%,4.56B,47.02,31.90%,2.98B,-86.3M,-510.3M,-5.26,N/A,3.46B,35.08,3.97B,765.39,0.68,5.26,1.56B,1.87B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDOG,54.47B,53.81B,1.97k,357.14,N/A,60.91,56.89,61.13,8.30k,1.04,59.83%,25.05%,199.68,69.73,171.07,122.60,3.31M,5.1M,257.2M,312.02M,235.58M,8.37%,78.72%,11.82M,3.47,4.74%,3.79%,10.85M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-5.01%,-4.15%,-1.14%,-4.66%,880.12M,2.87,74.90%,473.46M,-16.65M,-44.07M,-0.14,N/A,1.47B,4.7,807.26M,84.32,3.94,3.07,194.58M,174.07M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEL,52.33B,55.33B,23.69,22.37,2.39,3.58,4.92,3.71,17.28,1.34,33.63%,25.05%,166.44,115.18,154.84,142.33,1.53M,1.32M,326.31M,N/A,325.58M,0.20%,94.45%,3.83M,2.36,1.31%,1.17%,5.04M,2,1.28%,1.96,1.25%,1.86,28.95%,"Mar 03, 2022","Feb 16, 2022",N/A,N/A,"Sep 23, 2021","Sep 23, 2021",15.15%,18.15%,8.32%,22.28%,14.92B,45.22,17.10%,4.89B,3.48B,2.26B,6.79,245.20%,1.21B,3.71,4.63B,43.11,1.56,32.52,2.68B,1.73B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIT,46.24B,43.84B,29.97,25.71,1.40,5.19,5.74,0.06,0.28,0.63,71.29%,25.05%,9.96,5.05,9.00,8.20,1.83M,1.82M,5.46B,N/A,1.4B,0.00%,2.44%,9.56M,6.39,N/A,0.17%,8.25M,0.01,0.15%,0.00,0.00%,0.32,4.57%,"Feb 08, 2021","Jan 21, 2021",2:1,"Jun 21, 2017","Mar 30, 2021","Sep 29, 2021",17.33%,19.27%,9.15%,19.63%,698.35B,126.18,30.10%,196.22B,157.43B,121.02B,0.29,18.90%,316.62B,57.95,138.21B,22.19,2.30,113.79,119.02B,65.7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDNS,51.03B,50.37B,74.25,51.81,4.66,17.29,19.39,16.93,54.55,1.07,36.00%,25.05%,190.09,118.11,174.44,149.42,1.26M,1.73M,277.14M,N/A,272.96M,1.28%,88.28%,2.64M,2.27,1.26%,0.95%,2.67M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Nov 16, 1997","Jan 01, 2021","Oct 01, 2021",23.30%,26.15%,11.64%,27.58%,2.98B,10.87,12.60%,2.38B,923.56M,693.11M,2.48,9.10%,1.01B,3.66,347.38M,13.20,1.70,9.49,1.02B,797.87M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMW,47.46B,46.48B,23.66,15.75,0.97,3.79,4.65,3.69,12.55,0.93,-19.29%,25.05%,172.00,108.80,132.23,149.06,2.49M,2.95M,419.66M,420.37M,207.48M,40.61%,29.18%,8.66M,2.37,2.23%,2.06%,15.9M,N/A,N/A,N/A,N/A,N/A,0.00%,"Oct 31, 2021","Nov 01, 2021",N/A,N/A,"Jan 28, 2021","Oct 28, 2021",16.05%,19.36%,4.84%,21.66%,12.61B,30.07,11.30%,9.72B,3.03B,2.02B,4.78,-8.30%,12.53B,29.82,11.73B,114.72,1.58,24.36,4.54B,3.89B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,53.83B,51.91B,67.45,52.08,4.75,15.59,15.85,14.96,48.70,0.99,37.76%,25.05%,239.79,111.84,198.77,151.50,2.47M,3.01M,247.88M,N/A,247.38M,0.22%,83.55%,11.39M,3.95,5.19%,4.59%,10.83M,1.48,0.74%,0.38,0.19%,1.52,11.80%,"Nov 14, 2021","Nov 04, 2021",2:1,"Dec 27, 1999","Apr 02, 2021","Oct 01, 2021",23.06%,24.00%,8.99%,27.35%,3.47B,14.12,22.10%,2.18B,1.03B,799.74M,3.22,21.00%,3.42B,13.8,1.54B,45.44,6.81,13.70,1.11B,886.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APH,50.40B,54.34B,35.63,30.67,2.10,5.12,8.48,5.29,22.98,1.24,27.52%,25.05%,86.05,58.58,80.79,72.62,2.13M,2.05M,598.03M,N/A,594.38M,0.56%,98.37%,6.23M,3,1.18%,1.04%,6.11M,0.8,0.97%,0.58,0.70%,0.92,30.66%,"Jan 11, 2022","Dec 19, 2021",2:1,"Mar 04, 2021","Dec 30, 2020","Sep 29, 2021",14.43%,20.05%,9.65%,26.68%,10.28B,17.18,21.30%,2.66B,2.43B,1.47B,2.38,23.10%,1.3B,2.18,5.25B,87.35,2.40,9.95,1.51B,-121.9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRWD,45.55B,44.42B,N/A,222.22,4.33,34.78,48.04,34.55,-654.11,1.43,-2.63%,25.05%,298.48,168.67,249.74,236.07,3.59M,4.23M,208.21M,229.34M,206.12M,1.42%,72.83%,11.34M,2.91,5.51%,4.94%,11.36M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-16.48%,-9.90%,-3.15%,-23.63%,1.29B,5.71,63.50%,644.89M,-78.01M,-211.82M,-0.94,N/A,1.91B,8.32,776.75M,80.95,1.90,4.14,529.53M,582.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHP,48.35B,56.33B,76.77,17.51,1.67,8.10,8.48,9.33,26.21,1.54,22.26%,25.05%,89.04,64.53,80.48,76.67,4.03M,4.63M,554.87M,N/A,543.72M,2.00%,90.54%,11.63M,2.66,2.40%,2.10%,12.57M,0.93,1.10%,0.80,0.95%,1.55,70.86%,"Dec 02, 2021","Nov 17, 2021",2:1,"Oct 12, 2021","Mar 30, 2021","Sep 29, 2021",10.72%,22.45%,5.14%,11.61%,6.04B,11.14,26.00%,3.38B,2.48B,647M,1.14,228.80%,255.3M,0.46,8.24B,144.41,1.92,10.28,2.2B,1.83B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSH,43.12B,42.39B,23.13,18.05,1.21,2.43,3.73,2.37,13.48,1.13,5.41%,25.05%,85.94,66.19,79.78,75.82,2.7M,3.3M,525.25M,N/A,524.13M,0.13%,93.33%,6.78M,2.67,1.29%,1.29%,6.11M,0.96,1.13%,0.94,1.11%,N/A,26.48%,"Nov 29, 2021","Nov 17, 2021",2:1,"Mar 09, 2014","Dec 30, 2020","Sep 29, 2021",10.48%,14.52%,9.03%,16.55%,17.91B,33.93,11.80%,6.06B,3.15B,1.88B,3.55,56.30%,2.41B,4.59,1.68B,14.53,2.11,21.99,2.57B,1.64B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI,44.74B,49.23B,36.59,26.81,2.06,5.66,N/A,6.06,22.30,0.77,56.83%,25.05%,266.86,163.16,250.92,222.18,676.31k,744.39k,168.9M,N/A,168.17M,0.56%,88.50%,1.11M,1.54,0.74%,0.66%,2.21M,3.16,1.22%,2.84,1.10%,1.65,39.23%,"Jan 13, 2022","Dec 13, 2021",10000:40425,"Jan 03, 2011","Dec 30, 2020","Oct 01, 2021",15.46%,22.88%,10.67%,N/A,8.12B,47.96,12.80%,3.64B,2.29B,1.26B,7.24,49.80%,1.65B,9.79,6.14B,N/A,1.38,-1.55,1.84B,1.54B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZS,42.83B,42.22B,N/A,588.24,12.14,55.09,80.78,55.48,-211.68,0.91,52.73%,25.05%,376.11,157.03,319.03,242.55,2.18M,4.29M,140.08M,N/A,82.43M,41.45%,45.36%,7.03M,3.84,8.52%,5.02%,7.17M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jul 30, 2021","Oct 30, 2021",-39.13%,-31.35%,-7.23%,-58.27%,761.04M,5.55,61.70%,524.02M,-213M,-297.82M,-2.17,N/A,1.58B,11.31,978.04M,184.47,2.59,3.79,241.78M,379.83M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STM,43.49B,42.83B,24.44,20.70,0.95,3.61,5.16,3.44,13.37,1.31,30.33%,25.05%,52.15,33.30,47.54,41.51,2.07M,2.93M,906.48M,N/A,657M,0.00%,3.56%,6.01M,3.24,N/A,0.66%,6.14M,0.24,0.51%,0.24,0.51%,1.08,10.30%,"Dec 20, 2021","Mar 20, 2022",3:1,"May 08, 2000","Dec 30, 2020","Oct 01, 2021",14.73%,17.68%,9.60%,22.53%,12.44B,13.76,19.90%,3.79B,3.23B,1.83B,1.98,95.90%,3.46B,3.81,2.86B,33.35,2.67,9.37,3.1B,1.04B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET,45.20B,44.63B,N/A,N/A,N/A,73.49,52.98,75.81,-374.85,0.66,56.12%,25.05%,221.64,60.96,177.55,118.18,4.38M,5.78M,273.88M,321.75M,252.69M,6.50%,85.36%,12.27M,3.73,5.89%,3.81%,12.21M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-36.83%,-17.85%,-3.56%,-25.82%,588.76M,1.91,51.00%,330M,-62.75M,-216.83M,-0.70,N/A,1.81B,5.64,1.25B,146.27,8.51,2.65,15.22M,68.11M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANET,40.16B,36.83B,53.07,37.45,1.88,15.02,10.39,13.29,39.05,1.17,88.02%,25.05%,140.53,65.52,118.39,93.91,2.18M,2.7M,307.3M,N/A,229.88M,26.64%,65.86%,3.86M,1.37,2.00%,1.26%,5.02M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,4:1,"Nov 17, 2021","Dec 30, 2020","Sep 29, 2021",28.30%,30.82%,10.86%,22.58%,2.77B,9.07,23.70%,1.48B,904.77M,784.52M,2.46,33.20%,3.39B,11.02,61.63M,1.59,5.06,12.57,977.54M,596.09M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL,44.00B,71.67B,6.65,6.64,3.27,0.43,4.91,0.68,4.62,1.01,47.58%,25.05%,59.49,35.57,55.93,51.08,5.78M,4.04M,289.98M,763.88M,282.72M,2.54%,86.67%,6.87M,1.07,2.80%,0.90%,7.76M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1973:1000,"Nov 01, 2021","Jan 28, 2021","Oct 28, 2021",6.46%,5.74%,2.96%,70.02%,105.12B,138.49,20.90%,29.42B,10.81B,6.79B,8.66,361.90%,22.41B,29.33,50.08B,352.79,0.82,11.55,13.09B,9.62B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,40.37B,39.22B,N/A,N/A,N/A,39.26,20.52,38.64,-94.45,N/A,-16.30%,25.05%,210.00,76.00,156.82,120.25,4.35M,5.31M,292.24M,N/A,188.29M,10.99%,66.54%,9.99M,1.64,7.16%,3.49%,10.84M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-44.77%,-46.50%,-11.16%,-22.57%,1.01B,3.65,42.60%,600.1M,-421.07M,-454.46M,-1.63,N/A,1.28B,4.48,122.37M,6.22,2.83,6.89,-57.17M,99.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPQ,41.99B,45.18B,6.83,8.59,4.59,0.70,N/A,0.71,7.06,1.01,52.37%,25.05%,38.49,23.72,32.30,30.78,10.61M,13.13M,1.08B,N/A,1.08B,0.18%,81.18%,45M,4.59,4.50%,3.90%,52.6M,1,2.73%,0.77,2.12%,2.92,14.54%,"Jan 04, 2022","Dec 06, 2021",2202:1000,"Nov 01, 2015","Oct 30, 2021","Oct 30, 2021",10.24%,9.15%,9.91%,N/A,63.49B,52.56,9.30%,13.42B,6.6B,6.5B,5.33,363.90%,4.3B,3.97,8.8B,N/A,0.76,-1.51,6.41B,4.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR,37.97B,35.75B,473.50,92.59,4.11,24.65,16.89,24.98,-71.25,N/A,-33.15%,25.05%,45.00,17.06,22.56,23.48,40.77M,37.28M,1.91B,2B,1.57B,12.48%,32.05%,85.92M,2.04,4.98%,4.29%,62.8M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-35.81%,-39.25%,-12.05%,-29.29%,1.43B,0.77,35.50%,740.13M,-547.12M,-512.53M,-0.28,N/A,2.53B,1.26,263.23M,11.71,4.12,1.13,222.14M,514.58M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
